book_id,author,book_title,book_wiki_url,count,adaptations,isbn,oclc,valid_identifier,metadata_updated,number_of_pages,subject_places,subjects,publish_date,publish_places,goodreads,gc_title,gc_language_code,gc_average_rating,gc_format,gc_ratings_count,gc_text_reviews_count,title,gc_authors
b_0374362998_5894387,Madeleine L'Engle,A Ring of Endless Light,https://en.wikipedia.org/wiki/A_Ring_of_Endless_Light,0,[],0374362998,5894387,True,True,324.0,,"['Fiction', 'Death', 'Dolphins']",1980,['New York'],,,,,,,,A ring of endless light,
b_0385016131_2491488,Philip K. Dick,A Scanner Darkly,https://en.wikipedia.org/wiki/A_Scanner_Darkly,0,[],0385016131,2491488,True,True,220.0,,"['Detective and mystery stories', 'Drug abuse', 'Fiction', 'Fiction in English', 'Narcotic habit', 'OverDrive', 'Science Fiction', 'Stories without words', 'Accessible book', 'Protected DAISY', 'In library', 'Police', 'Multiple personality']",1977,"['Garden City, N.Y']",1490020,A Scanner Darkly,eng,4.01,,97,14,A scanner darkly,
b_0679419853_27187407,Scott B. Smith,A Simple Plan (novel),https://en.wikipedia.org/wiki/A_Simple_Plan_(novel),0,[],0679419853,27187407,True,True,335.0,['United States'],"['Brothers', 'Fiction', 'Guilt', 'Larceny', 'Moral and ethical aspects of W', 'Murder', 'Murderers', 'OverDrive', 'Suspense', 'Theft', 'Treasure troves', 'Treasure-trove', 'Wealth', 'Young men', 'Accessible book', 'Protected DAISY', 'In library']",1993,['New York'],1293867,A Simple Plan,,3.91,Hardcover,128,22,A simple plan,
b_0671230719_3380058,Mary Higgins Clark,A Stranger Is Watching,https://en.wikipedia.org/wiki/A_Stranger_Is_Watching,0,[],0671230719,3380058,True,True,314.0,['Connecticut'],"['In library', 'Kidnapping', 'Popular Print Disabled Books', 'Murder in fiction', 'Open Library Staff Picks', 'Accessible book', 'Fiction in English', 'Fiction', 'Connecticut in fiction', 'Connecticut', 'Kidnapping in fiction', 'Protected DAISY', 'Large type books', 'Literatura norte-americana', 'Murder']",1977,['New York'],2583566,A Stranger Is Watching,,3.92,Hardcover,66,8,A stranger is watching,
b_0440211727_26089618,John Grisham,A Time to Kill (Grisham novel),https://en.wikipedia.org/wiki/A_Time_to_Kill_(Grisham_novel),0,[],0440211727,26089618,True,True,,"['Mississippi', 'Clinton (Miss.)', 'Clanton (Miss.)', 'Clanton', 'America', 'Ford County']","['Ku Klux Clan', 'district attorneys', 'capital punishment', 'pro bono publico', 'disbarment', 'M16 rifles', 'capital murder', 'white supremacy', 'legal thriller', 'detective and mystery fiction', 'mystery fiction', 'race relations', 'homocide', 'legal fiction', 'legal stories', 'murder trials', 'Child sexual abuse', 'Murder', 'Trials (Murder)', 'Investigation', 'Vigilantes', 'Fiction', 'Crimes against African America', 'Attorney and client', 'Revenge', 'Accessible book', 'Protected DAISY', 'OverDrive', 'Thriller', 'Literature', 'In library', 'Popular Print Disabled Books', 'Detective and mystery stories', 'African American girls', 'Crimes against', 'Rassenpolitik', 'Umschulungswerkstätten für Sie']",1992 07,"['New York, USA']",13420212,A Time to Kill,eng,4.06,Mass Market Paperback,80,13,A Time to Kill,
b_0446608955_44913996,Nicholas Sparks,A Walk to Remember (novel),https://en.wikipedia.org/wiki/A_Walk_to_Remember_(novel),0,[],0446608955,44913996,True,True,,['North Carolina'],"['Teenagers', 'Fiction']",,,,,,,,,,A Walk to Remember,
b_0375501371_37955786,John Irving,A Widow for One Year,https://en.wikipedia.org/wiki/A_Widow_for_One_Year,0,[],0375501371,37955786,True,True,537.0,"['Long Island', 'Phillips Exeter Academy', 'Europe', 'Amsterdam', 'United States', 'Vermont']","['In library', 'Fiction', 'Women novelists in fiction', 'Women novelists', 'Single mothers in fiction', 'Widows in fiction', 'Widows', 'Single mothers', 'Grief', 'Grief in fiction', 'Love stories', 'Protected DAISY', 'Internet Archive Wishlist', 'Domestic fiction', 'contemporary fiction', 'Romance fiction', 'Fictional Work', 'death', 'novelists', 'Conflict of generations', 'Families']",1998,"['New York, USA']",1153178,A Widow for One Year,,3.75,Hardcover,335,33,A Widow For One Year,
b__22421788,Madeleine L'Engle,A Wrinkle in Time,https://en.wikipedia.org/wiki/A_Wrinkle_in_Time,0,[],,22421788,True,False,,,,,,,,,,,,,,
b_0575061596_39002367,Nick Hornby,About a Boy (novel),https://en.wikipedia.org/wiki/About_a_Boy_(novel),0,[],0575061596,39002367,True,True,286.0,"['London (England)', 'England', 'London', 'Londres (Inglaterra)']","['Fiction', 'Single mothers', 'Children of divorced parents', 'Boys', 'Single men', 'Ficción', 'Man-woman relationships', 'Muchachos', 'Solteros', 'Hijos de padres divorciados', 'Madres solteras', 'Love stories', 'Accessible book', 'Protected DAISY', 'OverDrive', 'Literature', 'Children and adults', 'Bildungsromans', 'In library', 'Divorced parents']",1998,['London'],2770004,About a Boy,eng,3.80,Hardcover,126,8,About a boy,
b_0575061596_39002367,Nick Hornby,About a Boy_(novel),https://en.wikipedia.org/wiki/About a Boy_(novel),1,['About a Boy'],0575061596,39002367,True,True,286.0,"['London (England)', 'England', 'London', 'Londres (Inglaterra)']","['Fiction', 'Single mothers', 'Children of divorced parents', 'Boys', 'Single men', 'Ficción', 'Man-woman relationships', 'Muchachos', 'Solteros', 'Hijos de padres divorciados', 'Madres solteras', 'Love stories', 'Accessible book', 'Protected DAISY', 'OverDrive', 'Literature', 'Children and adults', 'Bildungsromans', 'In library', 'Divorced parents']",1998,['London'],2770004,About a Boy,eng,3.80,Hardcover,126,8,About a boy,
b_9780446603584_35813980,David Baldacci,Absolute Power (novel),https://en.wikipedia.org/wiki/Absolute_Power_(novel),0,[],9780446603584,35813980,True,True,505.0,"['United States', 'États-Unis', 'Washington DC']","['Accessible book', 'Roman', 'Murder', 'Assassinat', 'Political fiction', 'Presidents', 'Présidents', 'Fiction', 'Protected DAISY', 'In library', 'Prâesidents']",1996,"['New York, NY']",,,,,,,,Absolute power,
b__29489461,mark twain,adventures of huckleberry finn,https://en.wikipedia.org/wiki/adventures_of_huckleberry_finn,0,[],,29489461,True,False,,,,,,,,,,,,,,
b_038505419_,Allen Drury,Advise and Consent,https://en.wikipedia.org/wiki/Advise_and_Consent,0,[],038505419,,True,False,,,,,,,,,,,,,,
b_9780002005371_53162914,Kenneth Oppel,Airborn (Oppel novel),https://en.wikipedia.org/wiki/Airborn_(Oppel_novel),0,[],9780002005371,53162914,True,True,,,"['Imaginary creatures', 'Fiction', 'Pirates', 'Airships', 'Accessible book', 'Protected DAISY', 'Animals', 'Fantasy fiction', 'Juvenile fiction', 'Dirigeables', 'Animaux sauvages', 'Romans, nouvelles, etc. pour l', 'Mythical animals', 'Fantasy']",1997,,,,,,,,,airborn,
b_0689300727_,Judith Viorst,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","https://en.wikipedia.org/wiki/Alexander_and_the_Terrible,_Horrible,_No_Good,_Very_Bad_Day",0,[],0689300727,,True,True,32.0,,"['Juvenile fiction', 'Humorous stories', 'Frustration', 'Protected DAISY', 'Accessible book', 'In library', 'Attitude (Psychology)']",1979,['New York'],,,,,,,,"Alexander and the terrible, horrible, no good, very bad day",
b__295972o,,All Quiet on the Western Front,https://en.wikipedia.org/wiki/All Quiet on the Western Front,1,['All Quiet on the Western Front'],,295972o,True,False,,,,,,,,,,,,,,
b__418497,Ben Ames Williams,All the Brothers Were Valiant (novel),https://en.wikipedia.org/wiki/All_the_Brothers_Were_Valiant_(novel),0,[],,418497,True,True,204.0,,['Accessible book'],1919,['New York'],,,,,,,,All the brothers were valiant,
b_0394574745_25704649,Cormac McCarthy,All the Pretty Horses (novel),https://en.wikipedia.org/wiki/All_the_Pretty_Horses_(novel),0,[],0394574745,25704649,True,True,301.0,"['Mexican-American Border Region', 'Texas', 'Mexico']","['Fiction', 'Ranch life', 'Horsemen and horsewomen', 'Prisoners', 'Cowboys', 'Americans', 'Accessible book', 'Protected DAISY', 'National Book Award Winner', 'award:national_book_award=1992', 'award:national_book_award=fict', 'National Book Critics Circle A', 'award:national_book_critics_ci', 'award:national_book_critics_ci', 'Coming of age', 'Romance Norte Americano', 'In library', 'Prisoners-Fiction', 'American, Mexico-Fiction', 'Cowboys-Western Stories']",1992,['New York'],635719,All the Pretty Horses,eng,3.98,Hardcover,618,81,All the pretty horses,
b_0316693642_25995508,James Patterson,Along Came a Spider (novel),https://en.wikipedia.org/wiki/Along_Came_a_Spider_(novel),0,[],0316693642,25995508,True,True,435.0,['Washington (D.C.)'],"['Mystery', 'In Library', 'Police psychologists', 'Psychological fiction', 'Open Library Staff Picks', 'Accessible Book', 'In library', 'African American police', 'Secret service', 'Protected DAISY', 'Fiction', 'Private schools']",1993,['Boston'],1312928,"Along Came a Spider (Alex Cross, #1)",eng,4.10,Hardcover,437,52,Along came a spider,
b_9780393045390_36165270,Walter Mosley,"Always Outnumbered, Always Outgunned","https://en.wikipedia.org/wiki/Always_Outnumbered,_Always_Outgunned",0,[],9780393045390,36165270,True,True,208.0,,"['Large type books', 'Internet Archive Wishlist', 'Protected DAISY', 'Philosophers', 'Ex-convicts', 'African American men', 'Fiction', 'Socrates Fortlow (Fictional ch']",1998,['New York'],1141705,"Always Outnumbered, Always Outgunned (Socrates Fortlow, #1)",en-US,4.16,,107,22,"Always outnumbered, always outgunned",
b_9780295984964_57342291,Shawn Wong,American Knees,https://en.wikipedia.org/wiki/American_Knees,0,[],9780295984964,57342291,True,True,229.0,,"['Fiction', 'Chinese Americans', 'Chinese American families', 'Dating (Social customs)', 'Interracial dating', 'Protected DAISY', 'Chinese Americans -- Fiction.', 'Interracial dating -- Fiction.', 'Dating (Social customs) -- Fic', 'Chinese American families -- F']",2005,['Seattle'],284182,American Knees,,3.41,Paperback,27,4,American knees,"OrderedDict([('author', [OrderedDict([('id', '165049'), ('name', 'Shawn Wong'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png')])), ('small_image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png')])), ('link', 'https://www.goodreads.com/author/show/165049.Shawn_Wong'), ('average_rating', '3.62'), ('ratings_count', '633'), ('text_reviews_count', '53')]), OrderedDict([('id', '3957461'), ('name', 'Jeffrey F. L. Partridge'), ('role', 'Introduction'), ('image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png')])), ('small_image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png')])), ('link', 'https://www.goodreads.com/author/show/3957461.Jeffrey_F_L_Partridge'), ('average_rating', '3.37'), ('ratings_count', '27'), ('text_reviews_count', '4')]), OrderedDict([('id', '3957462'), ('name', 'Jeffrey F. Partridge'), ('role', 'Introduction'), ('image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png')])), ('small_image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png')])), ('link', 'https://www.goodreads.com/author/show/3957462.Jeffrey_F_Partridge'), ('average_rating', '3.37'), ('ratings_count', '27'), ('text_reviews_count', '4')])])])"
b_9780679735779_22308330,Bret Easton Ellis,American Psycho,https://en.wikipedia.org/wiki/American Psycho,1,['American Psycho'],9780679735779,22308330,True,True,399.0,"['Wall Street (New York, N.Y.)', 'Manhattan (New York, N.Y.)', 'Manhattan', 'Wall Street', 'New York', 'London']","['capitalism', 'postmodernism', 'id', 'schizophrenia', 'consumerism', 'stream of consciousness', 'cocaine', 'pop music', 'unreliable narrators', 'vanity', 'sadism', 'rape', 'torture', 'mutilation', 'cannibalism', 'SWAT teams', 'necrophilia', 'investment bankers', 'psychological fiction', 'horror tales', 'Fiction', 'Rapists', 'Serial murderers in fiction', 'Women in fiction', 'Crimes against Women', 'Rapists in fiction', 'Novela estadounidense', 'Serial murderers', 'Psychopaths', 'Cuentos de terror', 'Psychopaths in fiction', 'Protected DAISY', 'In library', 'Women', 'Crimes against']",1991 03,"['New York, USA']",28676,American Psycho,eng,3.82,Paperback,195973,7642,American Psycho,
b_9780679735779_22308330,Bret Easton Ellis,American Psycho,https://en.wikipedia.org/wiki/American_Psycho,0,[],9780679735779,22308330,True,True,399.0,"['Wall Street (New York, N.Y.)', 'Manhattan (New York, N.Y.)', 'Manhattan', 'Wall Street', 'New York', 'London']","['capitalism', 'postmodernism', 'id', 'schizophrenia', 'consumerism', 'stream of consciousness', 'cocaine', 'pop music', 'unreliable narrators', 'vanity', 'sadism', 'rape', 'torture', 'mutilation', 'cannibalism', 'SWAT teams', 'necrophilia', 'investment bankers', 'psychological fiction', 'horror tales', 'Fiction', 'Rapists', 'Serial murderers in fiction', 'Women in fiction', 'Crimes against Women', 'Rapists in fiction', 'Novela estadounidense', 'Serial murderers', 'Psychopaths', 'Cuentos de terror', 'Psychopaths in fiction', 'Protected DAISY', 'In library', 'Women', 'Crimes against']",1991 03,"['New York, USA']",28676,American Psycho,eng,3.82,Paperback,195973,7642,American Psycho,
b_9780811215695_58600742,Franz Kafka,Amerika (novel),https://en.wikipedia.org/wiki/Amerika_(novel),0,[],9780811215695,58600742,True,True,216.0,['United States'],"['In library', 'Immigrants in fiction', 'Adaptations', 'Translations into English', 'Fiction', 'OverDrive', 'Protected DAISY', 'Social conditions', 'Young men', 'Classic Literature', 'Immigrants', 'Internet Archive Wishlist']",2004,"['New York, N.Y']",59766,Amerika: The Man Who Disappeared,,3.75,Paperback,200,28,Amerika,"OrderedDict([('author', [OrderedDict([('id', '5223'), ('name', 'Franz Kafka'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1495464914p5/5223.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1495464914p2/5223.jpg')])), ('link', 'https://www.goodreads.com/author/show/5223.Franz_Kafka'), ('average_rating', '3.88'), ('ratings_count', '998193'), ('text_reviews_count', '32381')]), OrderedDict([('id', '16118708'), ('name', 'Michael Hofmann'), ('role', 'Translator'), ('image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/m_200x266-d279b33f8eec0f27b7272477f09806be.png')])), ('small_image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/m_50x66-82093808bca726cb3249a493fbd3bd0f.png')])), ('link', 'https://www.goodreads.com/author/show/16118708.Michael_Hofmann'), ('average_rating', '4.03'), ('ratings_count', '45157'), ('text_reviews_count', '5029')])])])"
b_9780753151204_,Beryl Bainbridge,An Awfully Big Adventure (novel),https://en.wikipedia.org/wiki/An_Awfully_Big_Adventure_(novel),0,[],9780753151204,,True,True,208.0,['Liverpool (England)'],"['Actresses', 'Teenage girls', 'Accessible book', 'Fiction', 'Protected DAISY', 'Theatrical companies']",1989,['Oxford'],2078305,An Awfully Big Adventure,,3.64,Paperback,0,0,An awfully big adventure.,
b_0312009941_16130075,Randy Shilts,And the Band Played On,https://en.wikipedia.org/wiki/And the Band Played On,1,['And the Band Played On'],0312009941,16130075,True,True,630.0,"['United States', 'États-Unis', 'EE.UU']","['AIDS (Disease)', 'Accessible book', 'History', 'Political aspects of AIDS (Dis', 'Protected DAISY', 'Social aspects', 'Social aspects of AIDS (Diseas', 'Aspectos sociales', 'Sociology', 'Síndrome de Inmunodeficiencia ', 'Aspect social', 'Aspect politique', 'Sida', 'Public Policy', 'Acquired Immunodeficiency Synd', 'In library', 'AIDS']",1987,['New York'],885428,"And the Band Played On: Politics, People, And the AIDS Epidemic",,4.39,,161,26,And the band played on,
b_0452269563_,MacKinlay Kantor,Andersonville_(novel),https://en.wikipedia.org/wiki/Andersonville_(novel),1,['Andersonville'],0452269563,,True,True,766.0,"['Andersonville (Ga.)', 'United States']","['Accessible book', 'Andersonville (Ga.)', 'Andersonville Prison', 'Fiction', 'History', 'Prisoners and prisons', 'Prisoners of war', 'Protected DAISY', 'United States Civil War, 1861-', 'United States in fiction', 'In library', 'Andersonville (Ga.) -- History', 'United States  -- History  -- ']",1993,"['New York, N.Y., U.S.A']",77239,Andersonville,eng,4.11,Paperback,6844,273,Andersonville,
b_0828518564_469991798,Ivan Yefremov,Andromeda (novel),https://en.wikipedia.org/wiki/Andromeda_(novel),0,[],0828518564,469991798,True,True,,,,December 1980,,6046868,Andromeda: A Space-Age Tale,eng,3.69,Hardcover,28,4,Andromeda,"OrderedDict([('author', [OrderedDict([('id', '190082'), ('name', 'Ivan Efremov'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1516981724p5/190082.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1516981724p2/190082.jpg')])), ('link', 'https://www.goodreads.com/author/show/190082.Ivan_Efremov'), ('average_rating', '4.02'), ('ratings_count', '2529'), ('text_reviews_count', '114')]), OrderedDict([('id', '17371106'), ('name', 'Иван Ефремов'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1516981189p5/17371106.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1516981189p2/17371106.jpg')])), ('link', 'https://www.goodreads.com/author/show/17371106._'), ('average_rating', '4.14'), ('ratings_count', '3287'), ('text_reviews_count', '105')]), OrderedDict([('id', '3895322'), ('name', 'George Hanna'), ('role', 'Translator'), ('image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_200x266-e183445fd1a1b5cc7075bb1cf7043306.png')])), ('small_image_url', OrderedDict([('@nophoto', 'true'), ('#text', 'https://s.gr-assets.com/assets/nophoto/user/u_50x66-632230dc9882b4352d753eedf9396530.png')])), ('link', 'https://www.goodreads.com/author/show/3895322.George_Hanna'), ('average_rating', '3.85'), ('ratings_count', '1169'), ('text_reviews_count', '57')])])])"
b_1844083071_154702351,Elizabeth Taylor (novelist),Angel (novel),https://en.wikipedia.org/wiki/Angel_(novel),0,[],1844083071,154702351,True,True,256.0,,"['In library', 'Women novelists', 'Fiction']","April 1, 2006",,647121,Angel,eng,3.85,Paperback,1336,173,Angel (Virago Modern Classics),"OrderedDict([('author', [OrderedDict([('id', '53241'), ('name', 'Elizabeth Taylor'), ('role', None), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1507915325p5/53241.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1507915325p2/53241.jpg')])), ('link', 'https://www.goodreads.com/author/show/53241.Elizabeth_Taylor'), ('average_rating', '3.90'), ('ratings_count', '10451'), ('text_reviews_count', '1581')]), OrderedDict([('id', '58851'), ('name', 'Hilary Mantel'), ('role', 'Introduction'), ('image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1334862633p5/58851.jpg')])), ('small_image_url', OrderedDict([('@nophoto', 'false'), ('#text', 'https://images.gr-assets.com/authors/1334862633p2/58851.jpg')])), ('link', 'https://www.goodreads.com/author/show/58851.Hilary_Mantel'), ('average_rating', '3.93'), ('ratings_count', '240911'), ('text_reviews_count', '26026')])])])"
b_0671027352_52990309,Dan Brown,Angels & Demons,https://en.wikipedia.org/wiki/Angels & Demons,1,['Angels & Demons'],0671027352,52990309,True,True,430.0,"['Vatican City', 'Rome', 'Italy', 'Vaticano', 'Switzerland', 'Vatican', 'CERN', ""Castel Sant'Angelo"", ""St. Peter's Square"", 'Tiber River', 'College of Cardinals']","['heparin', 'ambigrams', 'antimatter', 'Freemasons', 'Swiss Guard', 'Internet Archive Wishlist', 'Murder', 'Investigation', 'Women scientists', 'College teachers', 'Terrorism', 'Catholic Church', 'Fiction', 'Protected DAISY', 'Popular Print Disabled Books', 'Action and adventure fiction', 'papacy', 'suspense fiction', 'thrillers', 'signs and symbols', 'secret societies', 'anti-Catholicism', 'Illuminati', 'vendetta', 'crimes against physicists', 'religious educators', 'popes', 'election', 'suspense', 'In library', 'Anticatolicismo', 'Cryptographers', 'Papas', 'Physicists', 'Símbolos', 'Educadores religiosos', 'Vendeta', 'Accessible book', 'Sociedades secretas', 'Físicos', 'Crimes against', 'Elección', 'Adventure stories', 'Delitos contra', 'Sante sede', 'Novela de suspense', 'Ficción', 'Adventure fiction', 'Secret societies', 'Papacy', 'Vendetta', 'Popes', 'Religious educators', 'Anti-Catholicism', 'Signs and symbols', 'Election', 'Signos y símbolos', 'Suspense fiction']",2000,['New York'],85302,"Angels & Demons (Robert Langdon, #1)",eng,3.88,Mass Market Paperback,9701,1021,Angels & demons,
